CreditScore,Age,Tenure,HasCrCard,IsActiveMember,EstimatedSalary,Churned,Geography_France,Geography_Germany,Geography_Spain,Gender_Female,Gender_Male,Total_Products_More Than 2 Products,Total_Products_One product,Total_Products_Two Products,Account_Balance_More Than zero Balance,Account_Balance_Zero Balance
619,3.7376696182833684,2,1,1,101348.88,1,True,False,False,True,False,False,True,False,False,True
608,3.713572066704308,1,0,1,112542.58,0,False,False,True,True,False,False,True,False,True,False
502,3.7376696182833684,8,1,0,113931.57,1,True,False,False,True,False,True,False,False,True,False
699,3.6635616461296463,1,0,0,93826.63,0,True,False,False,True,False,False,False,True,False,True
850,3.7612001156935624,2,1,1,79084.1,0,False,False,True,True,False,False,True,False,True,False
645,3.784189633918261,8,1,0,149756.71,1,False,False,True,False,True,False,False,True,True,False
822,3.912023005428146,7,1,1,10062.8,0,True,False,False,False,True,False,False,True,False,True
376,3.367295829986474,4,1,0,119346.88,1,False,True,False,True,False,True,False,False,True,False
501,3.784189633918261,4,0,1,74940.5,0,True,False,False,False,True,False,False,True,True,False
684,3.295836866004329,2,1,1,71725.73,0,True,False,False,False,True,False,True,False,True,False
528,3.4339872044851463,6,0,0,80181.12,0,True,False,False,False,True,False,False,True,True,False
497,3.1780538303479458,3,1,0,76390.01,0,False,False,True,False,True,False,False,True,False,True
476,3.5263605246161616,10,1,0,26260.98,0,True,False,False,True,False,False,False,True,False,True
549,3.2188758248682006,5,0,0,190857.79,0,True,False,False,True,False,False,False,True,False,True
635,3.5553480614894135,7,1,1,65951.65,0,False,False,True,True,False,False,False,True,False,True
616,3.8066624897703196,3,0,1,64327.26,0,False,True,False,False,True,False,False,True,True,False
653,4.060443010546419,1,1,0,5097.67,1,False,True,False,False,True,False,True,False,True,False
549,3.1780538303479458,9,1,1,14406.41,0,False,False,True,True,False,False,False,True,False,True
587,3.8066624897703196,6,0,0,158684.81,0,False,False,True,False,True,False,True,False,False,True
726,3.1780538303479458,6,1,1,54724.03,0,True,False,False,True,False,False,False,True,False,True
732,3.713572066704308,8,1,1,170886.17,0,True,False,False,False,True,False,False,True,False,True
636,3.4657359027997265,8,1,0,138555.46,0,False,False,True,True,False,False,False,True,False,True
510,3.6375861597263857,4,1,0,118913.53,1,False,False,True,True,False,False,True,False,False,True
669,3.828641396489095,3,0,1,8487.75,0,True,False,False,False,True,False,False,True,False,True
846,3.6375861597263857,5,1,1,187616.16,0,True,False,False,True,False,False,True,False,False,True
577,3.2188758248682006,3,0,1,124508.29,0,True,False,False,False,True,False,False,True,False,True
756,3.58351893845611,2,1,1,170041.95,0,False,True,False,False,True,False,True,False,True,False
571,3.784189633918261,9,0,0,38433.35,0,True,False,False,False,True,False,False,True,False,True
574,3.7612001156935624,3,1,1,100187.43,0,False,True,False,True,False,False,True,False,True,False
411,3.367295829986474,0,1,1,53483.21,0,True,False,False,False,True,False,False,True,True,False
591,3.6635616461296463,3,1,0,140469.38,1,False,False,True,True,False,True,False,False,False,True
533,3.58351893845611,7,0,1,156731.91,0,True,False,False,False,True,False,True,False,True,False
553,3.713572066704308,9,0,0,81898.81,0,False,True,False,False,True,False,False,True,True,False
520,3.7376696182833684,6,1,1,34410.55,0,False,False,True,True,False,False,False,True,False,True
722,3.367295829986474,9,1,1,142033.07,0,False,False,True,True,False,False,False,True,False,True
475,3.8066624897703196,0,1,0,27822.99,1,True,False,False,True,False,False,True,False,True,False
490,3.4339872044851463,3,0,1,114066.77,0,False,False,True,False,True,False,True,False,True,False
804,3.4965075614664802,7,0,1,98453.45,0,False,False,True,False,True,False,True,False,True,False
850,3.58351893845611,7,1,1,40812.9,0,True,False,False,False,True,False,True,False,False,True
582,3.713572066704308,6,0,1,178074.04,0,False,True,False,False,True,False,False,True,True,False
472,3.6888794541139363,4,1,0,70154.22,0,False,False,True,False,True,False,True,False,False,True
465,3.9318256327243257,8,0,0,181297.65,1,True,False,False,True,False,False,True,False,True,False
556,4.110873864173311,2,1,1,94153.83,0,True,False,False,True,False,False,True,False,True,False
834,3.8918202981106265,2,0,0,194365.76,1,True,False,False,True,False,False,True,False,True,False
660,4.110873864173311,5,1,1,158338.39,0,False,False,True,True,False,False,True,False,True,False
776,3.4657359027997265,4,1,1,126517.46,0,False,True,False,True,False,False,False,True,True,False
829,3.295836866004329,9,1,1,119708.21,1,False,True,False,True,False,False,True,False,True,False
637,3.6635616461296463,9,1,1,117622.8,1,False,True,False,True,False,False,True,False,True,False
550,3.6375861597263857,2,0,1,90878.13,0,False,True,False,False,True,False,True,False,True,False
776,3.6109179126442243,2,1,0,194099.12,0,False,True,False,True,False,False,False,True,True,False
698,3.784189633918261,10,1,0,198059.16,0,False,True,False,False,True,False,False,True,True,False
585,3.58351893845611,5,0,0,86424.57,0,False,True,False,False,True,False,False,True,True,False
788,3.4965075614664802,5,0,0,116978.19,0,True,False,False,True,False,False,False,True,False,True
655,3.713572066704308,8,0,0,164040.94,1,False,True,False,False,True,False,True,False,True,False
601,3.7376696182833684,1,1,0,40014.76,1,False,True,False,False,True,False,True,False,True,False
619,3.7612001156935624,1,1,1,113410.49,0,True,False,False,False,True,False,True,False,True,False
656,3.8066624897703196,5,1,0,87107.57,0,True,False,False,False,True,False,True,False,True,False
725,2.9444389791664403,0,0,0,45613.75,0,False,True,False,False,True,False,True,False,True,False
511,4.189654742026425,4,1,0,1643.11,1,False,False,True,True,False,False,True,False,False,True
614,3.9318256327243257,4,1,1,46775.28,0,True,False,False,False,True,False,True,False,True,False
742,3.5553480614894135,5,0,0,84509.57,0,False,True,False,False,True,False,True,False,True,False
687,3.295836866004329,9,0,0,126494.82,0,False,True,False,True,False,False,False,True,True,False
555,3.4965075614664802,1,0,0,178798.13,0,False,False,True,False,True,False,False,True,True,False
684,4.02535169073515,8,1,1,99398.36,0,False,False,True,False,True,False,True,False,True,False
603,3.258096538021482,4,1,1,92840.67,0,False,True,False,False,True,False,True,False,True,False
751,3.58351893845611,6,1,1,27758.36,0,False,True,False,True,False,False,False,True,True,False
581,3.5263605246161616,1,1,0,110431.51,0,False,True,False,True,False,False,True,False,True,False
735,3.7612001156935624,10,1,1,196673.28,0,False,True,False,False,True,False,False,True,True,False
661,3.5553480614894135,5,0,1,113656.85,0,False,True,False,True,False,False,False,True,True,False
675,3.044522437723423,8,1,0,18203.0,0,True,False,False,True,False,False,True,False,True,False
738,4.060443010546419,2,1,0,28373.86,1,False,True,False,False,True,True,False,False,True,False
813,3.367295829986474,6,1,0,33953.87,0,True,False,False,False,True,False,True,False,False,True
657,3.6109179126442243,0,0,1,44203.55,0,False,False,True,True,False,False,True,False,True,False
604,3.2188758248682006,5,1,1,58426.81,0,False,True,False,True,False,False,False,True,True,False
519,3.58351893845611,9,0,1,145562.4,0,True,False,False,False,True,False,False,True,False,True
735,3.044522437723423,1,1,0,22388.0,0,True,False,False,True,False,False,False,True,True,False
664,4.007333185232471,8,1,1,139161.64,0,True,False,False,False,True,False,False,True,False,True
678,3.4657359027997265,9,1,1,148210.64,0,True,False,False,True,False,False,True,False,False,True
757,3.4965075614664802,5,0,1,194239.63,0,False,False,True,False,True,False,True,False,True,False
416,3.713572066704308,10,1,0,98301.61,0,False,True,False,True,False,False,False,True,True,False
665,3.5263605246161616,1,0,0,171413.66,0,True,False,False,True,False,False,False,True,True,False
